text,dialect,sentiment,confidence
ضاع وقتي كله بمعاملة كان ممكن تخلص بيوم,Ammani,negative,medium
صاحبي وعد يساعدني ورجع بعذر بآخر لحظة,Ammani,negative,high
ما قدرت آكل الغدا من كثر ضغط الشغل,Ammani,negative,medium
الاجتماع أخذ ساعتين زيادة وأنا ما معي طاقة,Ammani,negative,high
كسرت نظارتي الجديدة بعد أسبوع من شرائها,Ammani,negative,low
اشتكيت من مشكلة وما حدا اهتم يحلها,Ammani,negative,high
رحت على الصيدلية وهي مسكرة رغم إنها مكتوب إنها مفتوحة,Ammani,negative,high
الراتب مش كافي من البداية وهاد الشهر أصعب,Ammani,negative,high
ضيعت مفاتيح البيت وما لقيتها لحد هسا,Ammani,negative,high
وقفت تاكسي ورفض يوصلني بحجة إن المكان بعيد,Ammani,negative,high
المبرد خرب في أشد أيام الحر,Ammani,negative,high
ما قدرت أحضر مناسبة مهمة بسبب ظروف خارجة عن إرادتي,Ammani,negative,high
عملوا حفرة بالشارع من ثلاثة أشهر ولسا ما سكروها,Ammani,negative,medium
الكيس انشق وراحت كل الأغراض على الأرض,Ammani,negative,high
خربت العلاقة مع زميل بسبب سوء فهم,Ammani,negative,high
وقعت التلفون بالمي وخسرته,Ammani,negative,medium
الدواء خلص ومحتاجه بالليل والصيدلية مسكرة,Ammani,negative,high
بكيت من التعب والضغط وأنا بالشغل لأول مرة,Ammani,negative,high
دفعت غرامة ما كنت أعرف عنها,Ammani,negative,medium
وقفت بالطابور نص ساعة وبعدين قالوا النظام معطل,Ammani,negative,medium
الخدمة بالمطعم كانت سيئة وما اعتذروا,Ammani,negative,medium
صاحبي حكالي خبر أثر في كتير وما طيقته,Ammani,negative,medium
رحت على الاجتماع وبان إن ما في اجتماع,Ammani,negative,high
الباص مر ولم يتوقف رغم أنني كنت واقف,Ammani,negative,medium
طلعلي إن المعلومات غلط كلها بعد ما اعتمدت عليها,Ammani,negative,high
بدي اروح عالبيت هلأ,Ammani,neutral,high
باجي بعد شوي، ما تستناني كتير,Ammani,neutral,high
بدي اروح عالمول اليوم الصبح قبل ما يصير ازمة،  أشتري خضار وفواكه للبيت، وبعدها باجي عندكم نقعد شوي عالبيت نسهر ونشرب شاي,Ammani,neutral,high
بدي راتب يكفيني لنص الشهر على الأقل، مش كل شهر نفس الفيلم,Ammani,neutral,high
باجي عالسوق أشتري شغلتين، وبرجع محمّل بكيسين بدون ما أحس,Ammani,neutral,high
يا زلمة والله أزمة صويلح بتخلي الواحد يراجع كل قرارات حياته الغلط وهو صافن,Ammani,negative,high
الباص السريع فكرة ممتازة بس لو يركبوا  فيه مكيفات بتصير الأمور لوز اللوز يا غالي,Ammani,neutral,high
بتكون طالع من البيت قبل بساعة وبتحكي هانت، فجأة بتطلعلك أزمة من تحت الأرض,Ammani,negative,high
يخوان الدوار السابع صار بدو خريطة جديدة من كثر التحويلات اللي بتطلع بوجهك كل يوم,Ammani,negative,high
الواحد بطلع من الدوام راسو قد الطبل من ورا زوامير السيارات اللي ما بتخلص أبداً,Ammani,negative,high
سواقين التكاسي بعمان قصة تانية، بفتح معك مواضيع سياسية واقتصادية وأنت بس بدك توصل,Ammani,negative,high
سندويشة فلافل سخنة مع كاسة شاي بالمرمية عالبلكونة بتسوى عندي كل مطاعم الدنيا,Ammani,positive,high
يا جماعة الخير المنسف ما بتاكل بالشوكة والسكينة، المنسف بدو هجوم بالإيد عشان تستمتع,Ammani,neutral,high
بتروح عالجيم ساعة وبس تخلص بتروح توكل شاورما من ضيافة، وين المنطق بالموضوع يا شريك؟,Ammani,negative,high
لما أمي تعمل مقلوبة يوم الجمعة، بكون هذا أحلى خبر بسمعه بكل الأسبوع بدون مبالغة,Ammani,positive,high
شو في أحلى من صحن حمص وفول مسبحة من عند هاشم والجو بكون لسا بدو يصحصح,Ammani,positive,high
جو عمان متقلب أكثر من مزاجي، الصبح بكون شتا والظهر صيف وبالليل بترجع تشتي,Ammani,negative,high
عمان بالليل غير، الأضواء والقعدة بالمطلات بتخلي الواحد ينسى كل هموم الشغل والتعب تبعه,Ammani,positive,high
يا ويلي على ريحة الشتا بعمان، بتحس الشوارع  بتتنفس وبترجعلك ذكريات الطفولة والمدرسة زمان,Ammani,positive,high
الواحد بس بدو يغير جو بروح على شارع الرينبو بتمشى وبشرب كاسة شاي وبستمتع بالمنظر,Ammani,positive,high
الناس بعمان طيبين وبحبوا المساعدة، لو سيارتك تعطلت بتلاقي مية واحد فزعلك وبدو يساعدك,Ammani,positive,high
يوم الخميس بعمان هو اليوم العالمي للعجقة والطلعات,Ammani,neutral,high
بتحس حالك غريب لو مشيت بشارع وما سمعت حدا بنادي على حدا وبقله يا كبير,Ammani,neutral,high
يا زلمة فكك من القصص هاي وخلينا نركز بمستقبلنا بدل ما نضلنا نتحسر عالماضي,Ammani,positive,high
والله إنك نغش زيادة عن اللزوم، بس يلا بنمشيلك اياها عشان الخبز والملح اللي بينا,Ammani,neutral,high
فلان مفكر حاله قطاعة وهو مش عارف وين الله حاطه بكل السولافة هاي يا صاحبي,Ammani,negative,high
اجا يكحلها عماها، مفكر حاله بحل المشكلة وهو زاد الطين بلة وعقد الأمور زيادة كمان,Ammani,negative,high
القصة مش قصة مصاري، القصة قصة برستيج وناس بدها تبين حالها وهي على حديدة,Ammani,negative,high
يا كبير والله إنك كفو وما قصرت معنا، دايماً بتبيض الوجه بكل المواقف الصعبة,Ammani,positive,high
شو مالك شابك معي خط اليوم؟ صلي على النبي وروق وخلينا نتفاهم بالهداوة يا غالي,Ammani,negative,medium
لا تضل تنق فوق راسي، اللي صار صار وبدنا نشوف كيف بدنا نصلح الوضع هسا,Ammani,neutral,high
أيام الجامعة بالاردنية كانت أحلى أيام، بين المحاضرات والقعدة على الدرج وضحك الشباب دايماً,Ammani,positive,high
المدير بالشغل مفكرنا روبوتات، بدو الشغل يخلص مبارح وهو لسا معطينا اياه اليوم الصبح بدري,Ammani,negative,high
فترة الامتحانات بالجامعة عبارة عن توتر وشرب قهوة زيادة وسهر للصبح عشان نلحق نخلص المادة,Ammani,negative,high
أحلى شعور لما ينزل الراتب وتشوف المسج على التلفون، بتحس حالك صرت غني لمدة ساعتين بس,Ammani,positive,high
سوق العمل بدو واحد شاطر وبفهم بالسوق، مش بس شهادات كرتون معلقة على الحيطان بالبيت,Ammani,neutral,high
الواحد بكون متحمس للدوام يوم الأحد، وبس يوصل المكتب بصير يتمنى يجي يوم الخميس بسرعة,Ammani,neutral,high
الدراسة بطلت زي زمان، هسا كل إشي صار أونلاين والواحد بطل يركز زي لما كان بالقاعة,Ammani,negative,medium
يا رب توفيقك بكل خطوة، الواحد بشتغل وبيتعب عشان يأمن مستقبله ويقدر يعيش حياة كريمة,Ammani,neutral,high
يا زلمة والله أزمة شارع المدينة المنورة اليوم بتخلي الواحد يندم إنه فكر يطلع من باب بيته أصلاً,Ammani,negative,high
نزلت على وسط البلد واشتريت صحن قدسية من عند أبو جبارة، الطعم لسه زي ما هو من أيام الطفولة,Ammani,positive,high
رحت أجرب المطعم الجديد اللي طالع تريند على التيك توك، الصراحة الأكل عادي بس الديكور هو اللي ضارب,Ammani,negative,high
الجو اليوم بعمان مش طبيعي، مرة شوب ومرة برد، الواحد مش عارف يلبس صيفي ولا يخلي الشتوي بالخزانة,Ammani,neutral,high
مشان الله يا جماعة حدا يحكي لتبعون التكاسي إنه اللوكيشن اختراع عظيم، مش لازم أشرحلك قصة حياتي لتوصلني,Ammani,negative,high
في ناس بضلوا ينزلوا صور قهوة وفيروز الصبح، يا عمي إحنا يادوب نصحصح ونفتح عيونا لنلحق الباص السريع,Ammani,neutral,high
الباص السريع صار هو المنقذ الوحيد لإلنا من أزمة السير الخانقة، بس المشكلة إنه دائماً فل ومسكر عالاخر,Ammani,neutral,high
كل ما أقرر أعمل دايت، بتطلعلي إعلانات الشاورما والبرغر اللي بتخلي الواحد يضعف قدام الصوصات والجبنة السايحة,Ammani,neutral,high
يا جماعة الخير، اللي عنده واسطة بشركة الكهرباء يزبطنا لأنه الفاتورة هالمرة جاية بتجلط,Ammani,negative,high
أمي بتضل تحكيلي قوم ادرس الله يرضى عليك وأنا بكون ماسك الموبايل وعامل حالي مش سامعها,Ammani,neutral,high
لما تروح تزور قرايبك ويقعدوا يسألوك متى بدنا نفرح فيك؟، بكون بدك تنشق الأرض وتبلعك من كتر الإحراج,Ammani,negative,high
قعدة البلكونة بالمغربيات مع كاسة شاي بالمرمية بتسوى الدنيا وما فيها، خصوصاً لما يكون الهوا بارد,Ammani,positive,high
رحت أشتري غراض للعيد ولقيت الأسعار نار، صاير الواحد بده ميزانية دولة عشان يكسي ولاده لبسة وحدة بس,Ammani,negative,high
"لما أبوي يبلش يحكي عن ""أيام زمان"" وكيف كانت الدنيا رخيصة والناس لبعضها، بنحس قديش الحياة تغيرت وصارت صعبة",Ammani,negative,high
اليوم ركبت مع شوفير تكسي حكالي قصة حياته من لما انولد لحد ما صار يشتغل على السيارة,Ammani,neutral,high
دخلت على محل اواعي وحكيت للموظف بدي بس أتفرج، ضله ماشي وراي  كأني ناوي أسرق المحل,Ammani,negative,high
قلاية البندورة بالثوم والفلفل الحار هي العشق الأبدي، خصوصاً إذا كانت معمولة على نار هادية وبزيت زيتون أصلي,Ammani,positive,high
الكنافة من عند حبيبة بوسط البلد إلها طقوس خاصة، لازم توقف بالدور وتوكلها وأنت واقف عالرصيف لتستمتع,Ammani,positive,high
اليوم عملنا مقلوبة، وطلعت القلبة تبعتها احترافية لدرجة إني صورتها ونزلتها ستوري على طول من الفرحة,Ammani,positive,high
ما في أزكى من خبز الطابون وهو طالع من الفرن سخن، مع شوية لبنة وزيت وزعتر بلدي بكون الطعم خيالي,Ammani,positive,high
اليوم جربنا مطعم برغر جديد، اللحمة كانت جوسي والبطاطا مقرمشة، بس السعر كان شوي أوفر,Ammani,neutral,high
درست أربع سنين بالجامعة وبالآخر بشتغل بمجال بعيد كل البعد عن تخصصي,Ammani,neutral,high
اشتريت سيارة هايبرد عشان أوفر بنزين، لقيت حالي عم بصرف اللي وفرته على قطع الغيار اللي أسعارها نار,Ammani,negative,high
لما أشوف شباب عم بوزعوا تمر ومي وقت الأذان بالشوارع، بحس بفخر كبير ببلدي وبأخلاق شعبنا العظيمة والمميزة,Ammani,positive,high
بتذكر لما كنا نلعب فطبل بالحارة ونكسر شباك الجيران,Ammani,neutral,high
أيام زمان كانت الناس تنام وأبواب بيوتها مفتوحة، هسا صرنا نحط مية قفل وكميرات مراقبة,Ammani,negative,high
الجيل الجديد ما بعرف شو يعني أتاري,Ammani,neutral,high
"مشكلة الجروبات تبعت العيلة إنها دايماً مليانة رسايل صباح الخير"" وصور ورود",Ammani,neutral,high
التيك توك خلى كل الناس مفكرة حالها مشهورة، بتلاقي الواحد بصور فيديو وهو عم بوكل وبستنى الملايين تتابعه,Ammani,neutral,medium
رحت على سيتي مول يوم الجمعة، والزحمة كانت لدرجة إني قعدت ساعة بس أدور على مكان أصف فيه سيارتي,Ammani,negative,high
قعدة جبل القلعة بوقت الغروب بتعطيك منظر لعمان ما بتشوفه بأي مكان تاني بالعالم، فعلاً لوحة فنية ربانية,Ammani,positive,high
رحت على إربد يوم العطلة وأكلت مكمورة، والله الأكل الشمالي إله نكهة خاصة بتخليك توكل أصابعك وراه من الزكاوة,Ammani,positive,medium
يا أخي النفسية محتاجة طشة على العقبة نغير فيها جو ونشم ريحة البحر وننسى كل هموم الشغل والدراسة,Ammani,positive,high
جاري بضل يشغل أغاني عالية بنص الليل، شكلي رح أروح عليه وأحكيله يا حبيبي ارحمنا شوي بدنا ننام,Ammani,negative,high
يا رب يرزقنا بشنطة فيها مليون دولار، ونروح نشتري فيلا بعبدون ونخلص من إيجار البيوت اللي كسر ظهرنا,Ammani,positive,medium
أمانة عمان لو بس يزفتوا هالحفرة اللي بطلعة جبل الحسين بكونوا عملوا  أكبر معروف هالسنة,Ammani,negative,medium
ياخي والله أزمة الشوارع بتخلي الواحد يندم إنه طلع من بيته أصلاً,Ammani,negative,high
ياخي ارحمنا من هالهبد على تويتر، كل واحد صار عامل حاله خبير اقتصادي ومحلل سياسي هسا,Ammani,negative,high
أديش بدك وقت لتخلص المشروع؟ ياخي الديدلاين قرب وإحنا لسه ما سلمنا الداتا,Ammani,negative,high
بأدرش أطلع معك هلأ، عندي ميتينغ مع التيم ولسا  ما خلصت شغلي,Ammani,neutral,high
أديش سعر هاد الموبايل؟ ياخي الأسعار بالسوق صارت بتجلط والواحد بطل يلحق,Ammani,negative,high
هسا أنا بأول إنه الواحد لازم ياخد استراحة ويروح يشم هوا بشارع الستين بالسلط,Ammani,positive,high
هلأ صار في كافيهات بكل زاوية بعمان,Ammani,neutral,high
أوم خلينا نصلي ونطلب من ربنا التوفيق,Ammani,neutral,high
هسا تأكدت إنه أحلى شي بعمان هو صوت بياع الكعك الصبح، بذكرني بأيام زمان والبركة,Ammani,positive,medium
هلأ إذا نزلت على شارع الرينبو بكون أزمة؟ ياخي حابب أتمشى هناك وأشوف الناس والجو,Ammani,neutral,high
أديش بدك وقت لتخلص كتابة الـدوكيومينتيشن؟ ياخي صارلنا قرن شغالين عليه وما خلص,Ammani,negative,high
هسا بالله عليك هاد تصميم الواجهة؟ ياخي الألوان بتوجع العين,Ammani,negative,medium
سقى الله لما كنا نأعد ع الدرج بوسط البلد ونحكي لساعات طويلة بدون ما نزهق,Ammani,positive,high
أهري على اللابتوب اللي خرب فجأة، هسا كيف بدي أكمل كتابة الكود وأسلم المشروع؟,Ammani,negative,high
ياخي ليش دايماً بس أقرر أعمل دايت، أمي بتطبخ منسف أو مقلوبة بتشهي وبتخربلي كل شي؟,Ammani,negative,medium
بأدرش أنسى فضل الدكتور اللي علمني كيف أكتب أول كود بايثون بحياتي، الله يجزيه الخير,Ammani,positive,high
هلأ الدنيا برد والواحد ماله غير صحن شوربة عدس ويدفى تحت الحرام ويحضر فيلم حلو,Ammani,positive,high
ياخي والله الأردنية إلها هيبة ومكانة بقلوبنا كلنا، ورح تضل هي أم الجامعات دايماً,Ammani,positive,medium
هسا بالله عليك هاد ألب ولا حجر؟ كيف بتقدر تترك البسة بالبرد برا؟,Ammani,negative,high
هسا تأكدت إنه أحلى شي بالدنيا هو راحة البال,Ammani,positive,medium
هسا رنيت ع المطعم وحكالي أربت الوجبة تجهز، ياخي متت من الجوع والله,Ammani,neutral,high
بأولوا إنه في مطعم بيعمل فلافل محشي بيجنن بآخر الشارع، خلينا نروح نجربه هسا,Ammani,positive,high
ياخي صارلنا ساعة بنخطط وبالآخر بتحكيلي مش جاي معنا ع الرحلة؟,Ammani,negative,medium
أديش بدك وقت لتجهز حالك؟ ياخي الباص رح يروح علينا وإحنا لسه بنستنى فيك تلبس,Ammani,negative,high
ياخي ارحمنا من هالبوستات اللي ما الها داعي، كل واحد صار بدو يتفلسف علينا من ورا الشاشة,Ammani,negative,medium
يا زلمة والله حكيتلهم مية مرة إنه المشروع بدو وقت,Ammani,negative,high
دير بالك وأنت طالع، الأزمة برا بتجلط وبعدين بديش تتأخر على موعدك.,Ammani,negative,high
يا زم ما بعرف وين زتها للمفاتيح، كانت هون قبل شوي جوا البيت,Ammani,negative,high
دنام هسا لأنه راسي رح ينفجر,Ammani,negative,high
بعدين بنحكي بطلباتكم اللي ما بتخلص,Ammani,negative,high
يا زلمة زتها ورا ظهرك ولا تضل تفكر بكلماتهم,Ammani,neutral,high
دير بالك على حالك وأنت بتسوق,Ammani,neutral,high
يا زم بديش أسمع ولا كلمة عنهم، همّ الخسرانين بأسلوبهم هاد,Ammani,negative,high
يا زم ما بعرف شو مالهم اليوم، الكل قالب بوزو,Ammani,negative,high
زتها بالخزانة وخلصنا، بديش أشوف كراكيب جوا البيت بالمرة,Ammani,negative,high
يا زلمة هيك الحياة بدها طولة بال، وبعدين ربنا بفرجها عليكم وعلينا,Ammani,positive,high
دير بالك من كلامهم، ترى أغلبه حكي فاضي وبديش إياك تتأثر هيك,Ammani,neutral,high
دنام ومحدش يصحيني، ما بعرف كيف رح أخلص شغلكم بكرة,Ammani,negative,high
يا زلمة بديش مشاكل جوا البيت، حلو أموركم بهدوء وبدون صراخ,Ammani,negative,high
ما بعرف ليش الكل عامل هيك دراما، القصة بسيطة وما بدها كل هاد,Ammani,neutral,high
زت هالشنتة جوا البيت وتعال نؤعد شوي، اشتأنالكم والله,Ammani,positive,high
ما بعرف وين صاروا هسا، دير بالك يكونوا تاهوا بالطريق,Ammani,neutral,medium
يا زم بديش أروح معهم، أسلوبهم بالحكي بنرفزني وبطلعني عن طوري,Ammani,negative,medium
بديش أعيد نفس الحكي مية مرة,Ammani,neutral,medium
بديش نطلع هسا، الجو شوب كتير برا والناس فوء بعضهم,Ammani,negative,high
بديش إياكم تزعلوا مني، بس والله كنت مضغوط وما عرفت شو أحكي,Ammani,positive,medium
بدي أنام هلأ، تعبانة كتير من طريق السفر,Ammani,negative,high
أديش بدك وقت لتجهز؟ هلأ بنتأخر والناس بتستنى,Ammani,neutral,high
هلأ صار لازم نأعد ونحكي بالموضوع,Ammani,neutral,high
ياخي والله ألبك طيب,Ammani,positive,high
إذا رحت ع السوق بلاقي أشياء رخيصة؟ ياخي الأسعار صارت نار,Ammani,neutral,medium
والله اشتأتلك، هلأ كنت عم بفكر أرن عليك ونطلع,Ammani,positive,high
هلأ الدنيا مطر والجو بياخد العقل، ياخي عمان غير بالشتا,Ammani,positive,high
بأدرش أصدق إنه هيك صار، هلأ كنا عم نضحك سوا,Ammani,negative,high
أوم  خلينا نلحأ المحل قبل ما يسكر,Ammani,neutral,high
ياخي ارحمنا من أصصك  اللي ما بتخلص,Ammani,negative,high
والله أهرتني بتصرفك هاد، هلأ كيف بدي أثق فيك؟,Ammani,negative,high
بؤلوا  إنه الجو بكرة بجنن، خلينا نطلع رحلة,Ammani,positive,high
يا زلمة صارلي ساعة بستنى فيكم,Ammani,negative,high
هلأ بس خلصت شغل، بحس حالي بأدر  أنام سنة كاملة من التعب,Ammani,positive,high
ما بعرف وين زتها للورقة، كانت معي لما كنا بنحكي جوا البيت,Ammani,negative,high
هلأ بس أدرت أفهم ليش همّ زعلانين، الصراحة معــهم حق,Ammani,neutral,high
هلأ إذا ألتلــهم عن الخبر، رح يكيفوا,Ammani,positive,high
يا زلمة ما بعرف كيف بتتحملــهم، أسلوبهم بالحكي مستفز كتير,Ammani,negative,high
دير بالك لا تـوأع من إيدك، يا زم هاي القطعة كتير غالية,Ammani,neutral,high
ما بعرف ليش همّ متمسكين برأيـهم، يا زلمة الحق مبين وواضح,Ammani,negative,medium
حطها بالتلاجة وبعدين بنوكلها، بديش إياها تخرب بهاد الشوب,Ammani,neutral,high
هلأ بس خلصت دراسة، بحس حالي بأدر أعمل أي شي صراحة,Ammani,positive,high
يا زم بديش أروح معكم,Ammani,negative,medium
بديش أشوفك زعلان هيك،تعال نوكل شاورما ونغير جو,Ammani,positive,medium
ما بعرف وين زت المفتاح,Ammani,negative,medium
ما بعرف ليش همّ مصرين يضلوا جوا البيت، الجو برا بجنن,Ammani,neutral,medium
دير بالك على دراستــك لأنها بتنفعك,Ammani,neutral,medium
هلأ بس خلصت تنضيف، بحس براحة نفسية مش طبيعية,Ammani,positive,high
يا زلمة دير بالك على أهلك، همّ اللي بضلولك بالأخر وبديش تضيعهم,Ammani,positive,high
بديش فلسفة، حلوا مشاكلكم بعيد عني وعن وجع راسي,Ammani,negative,medium
دير بالك ترى الحيط لساتو دهان جديد، بديش حدا يلمسه جوا البيت,Ammani,neutral,medium
هلأ إذا ألتلــهم إنك مسافر، رح ينصدموا كتير بقرارك,Ammani,neutral,high
هلأ بس أدرت أفهم ليش همّ بيحكوا عنكم، الصراحة محدا طايئــكم,Ammani,negative,high
دير بالك لا تـوأع الكاسة,Ammani,neutral,high
هلأ صار لازم نؤوم ونروح,Ammani,neutral,high
يا زلمة هيك الحياة تجارب، دير بالك من الناس اللي ما بتعرفــهم,Ammani,neutral,medium
شو مالكم اليوم، كأنكم مش طايئين حالكم,Ammani,negative,high
دير بالك لا تخليهم يضحكوا عليكم، خلوكم أذكى منهم بكثير,Ammani,positive,high
يا زم زتها وريح راسك، بعدين رح تكتشف إنه هاد كان أحسن قرار,Ammani,positive,medium
يا زم هيك الناس للناس، وبعدين ربنا بوفقنا كلنا للي فيه الخير,Ammani,positive,medium
لز شوي خليني أقعد معكم,Ammani,neutral,medium
دير بالك منه، هاد زلمة بضل يخرط عليكم وبعدين بتورطوا بمشاكله,Ammani,negative,medium
يا زلمة لز غراضك شوي، دنام هون وما في وسع,Ammani,negative,high
لز شوي يا زم، بديش أضل واقف وبعدين رجليّ بصيروا يوجعوني,Ammani,negative,high
فكك من خرط السوشيال ميديا، أغلبه حكي فاضي,Ammani,negative,medium
هلأ صار بدكم تقنعوه؟ هاد زلمة تنح وما بعرف كيف بتتحملوه,Ammani,negative,high
ما بعرف ليش هيك هو تنح بزيادة، جوا البيت الكل تعب من أسلوبه,Ammani,negative,high
دنام هسا وبديش أحكي مع حدا تنح زيك، جلطتني رسمياً,Ammani,negative,high
لا تضل تنح هيك، خلّينا نخلص هالشغل وبعدين ارتاح,Ammani,neutral,high
لازم نئوم ونتركهم، الناس الـتنحة بتعبوا الألب,Ammani,negative,high
والله العزومة كانت اشي اشي، كرمــكم دايماً ببيّض الوجـه وما بعرف كيف أشكركم,Ammani,positive,high
روح زت هالـشاكوش من إيدك,Ammani,negative,high
دير بالك ترى هو كتير زنخ,Ammani,negative,medium
زتها للملفات عالمكتب وخلّينا نبلش تعزيل بالأوراق القديمة,Ammani,neutral,high
بطل تمشي مع ناس سبهللة، خليك مع اللي برفعوا راســكم بــأخلاأهم,Ammani,positive,high
هلأ الدنيا صارت بتجنن بعد الــتعزيل,Ammani,positive,high
تعال نــأعد نشرب قهوة عالبلكونة,Ammani,neutral,high
دير بالك ترى الإدارة مش سبهللة، لازم نركز بشغلنا عشان نطلع نتيحة اشي اشي,Ammani,positive,high
بس خلصنا تعزيل الغرف، البيت صار يلمع لمع وطلع اشي اشي,Ammani,positive,medium
كيف حالكم؟ نورت عمان بوجودــكم,Ammani,positive,medium
على راسي يا خوي، كل اللي طلبتوه رح يصير ومن عيوني الثنتين هسا,Ammani,positive,high
يا زم روح غاد أنت والـخرط تبعك، بديش أسمع ولااشي منك,Ammani,negative,high
أنا امسطل ع الأخر وبأدرش  أركز بشغلــكم هيك,Ammani,negative,high
ما بعرف وين زتها للـجرابين، شوفة عينك كل الغرفة مكركبة بدها تعزيل,Ammani,negative,high
هلأ صار بدكم مساعدة؟ على راسي من فوء، ابشروا باللي بدكم إياه,Ammani,positive,high
اترك هالــزناخة وروح غاد، يا زلمة جلطتني بــتناحتــك هاي,Ammani,negative,high
ما بعرف ليش هو امسطل دايماً، شكلــه بسهر كتير بالليل,Ammani,neutral,high
يا زلمة جرابينــك دايماً ضايعين، حط غراضك بالخزانة وخلصنا من هالــسبهللة,Ammani,negative,high
من عيوني بــأدر أخلص الداتا هسا,Ammani,positive,high
دير بالك ترى هو امسطل وبؤول حكي خرط بـخرط,Ammani,negative,high
ما بعرف ليش هيك همّ، بتحكيلــهم روح غاد وبيرجعوا يــلزوا فيكم,Ammani,negative,high
لا تضل امسطل، أوم غسل وجهك عشان تركز بشغلك,Ammani,neutral,high
هلأ صار الشغل اشي اشي، على راسي والله يا مهندسين أبدعتوا بجهودكم,Ammani,positive,medium
أنا حكيتلــهم قبل شوي إنه الـصحن لساته سخن,Ammani,neutral,high
أنا بــأدر  أجيب لــكم أحلى صحن حلو هسا,Ammani,positive,high
دير بالك وأنت بتركب الصورة ع الـحيط,Ammani,neutral,high
بلكي منــعزل الساحة وبعدين بنعمل سهرة مرتبة,Ammani,positive,high
اطلع ع الخضار بـعـجـلـون، اشي اشي وبـيـاخذ العقل وبيرد الروح,Ammani,positive,high
أنا بــأدر أحكيلــكم إنه فوزكم اليوم رفع راسنا كلنا,Ammani,positive,high
بلكي إذا جربتوا الـمـكـمـورة بـإربـد رح تــؤولوا  إنها أزكى صحن دؤتوه,Ammani,positive,high
يا زم زتها لهالهموم واطلع ع المستقبل، بلكي ربنا بفتح لــكم أبواب الرزق,Ammani,positive,high
بلكي بنــعزل الحديقة سوا، وبعدين بنــأعد نشرب أهوة سادة بـرواء,Ammani,positive,high
قبل شوي شميت ريحة خبز طابون سخن,Ammani,neutral,high
قبل شوي كنت بــؤول الــهم إنه الـكرم بـالأردن ما إله حدود,Ammani,neutral,high
أنا مجهز لــكم صحن مقلوبة دجاج، ابشروا بـأكلة بتــبـيـض الوجـه,Ammani,positive,high
هلأ بس شفت النتائج، تأكدت إنه تعبنا بالمشروع ما راح ع الفاضي أبداً,Ammani,positive,high
يا زلمة لز لغاد شوي، الطاولة مكركبة غراض وما في وسع أحط اللابتوب,Ammani,negative,high
قبل شوي رن عليّ المدير وحكالي إنه الشغل تبعنا طالع اشي اشي ومرتب,Ammani,positive,high
بديش فلسفة زايدة، أعطيني الصافي وخلصني عشان نلحق نسلم المهمة,Ammani,negative,high
والله إنك نشمي، دايماً بتبين وقت الضيق وبترفع الراس بمواقفك,Ammani,positive,high
هلأ الدنيا صارت ربيع، الجو بياخد العقل وطلعات المغربيات بتفتح النفس,Ammani,positive,high
دير بالك لا توقع بالخطأ اللي وقع فيه غيرك، خليك واعي ومنتبه,Ammani,neutral,high
لساتني امسطل ع الآخر، القهوة لسه ما عملت مفعولها براسي,Ammani,negative,high
المنسف اللي أكلوه الشباب اليوم كان اشي فاخر ع الآخر,Ammani,positive,high
بلكي بنخلص بكير وبنطلع نغير جو بعبدون,Ammani,neutral,high
ما بعرف وين ضاعت المفاتيح، لساتني كنت ماسكهم بإيدي قبل شوي,Ammani,negative,high
اطلع كيف الجو صار، بكرة أكيد رح تثلج ولازم نأمن أغراضنا,Ammani,neutral,high
ليش حياتك ماشية سبهللة؟ لازم تحط خطة لمستقبلك,Ammani,negative,high
تعزيل البيت اليوم جلطنا، طلع في غبار تحت الكنبايات من سنة,Ammani,negative,high
بديش وجع راس، خليني أخلص هالمهمة وأروح أنام لأني تعبان كتير,Ammani,negative,high
أيام سهرات الصيف بالحارة، كنا نضحك من كل قلبنا,Ammani,positive,high
اترك الـشاكوش من إيدك، هسا بتخرب الجهاز وبنتبهدل,Ammani,negative,high
بلكي إذا رحنا ع العقبة بننبسط، الجو هناك دافي وبيرد الروح,Ammani,positive,high
السهرة ع السطح مع كاسة شاي بالمرمية هي الـتوب,Ammani,positive,high
بديش فلسفة، روح غاد عني وخليني أركز بشغلي الله يرضى عليك,Ammani,negative,high
بلكي بكرة بـتـشـمـس وبنطلع رحلة,Ammani,positive,high
يسلموا إيديك على هالجمعة الحلوة، جد انبسطنا كتير,Ammani,positive,high
طالعين مشوار على جبل اللويبدة ناكل كنافة ونقعد بحديقة المتحف,Ammani,neutral,medium
كنافة حبيبة بوسط البلد هي السعادة الحقيقية,Ammani,positive,high
اليوم الجمعة ولمّة العيلة أحلى إشي,Ammani,positive,high
بصراحة الخدمة بالمطعم اليوم كانت تحت الصفر,Ammani,negative,high
يا أخي فك عنا هسا، مش وقته بالمرة تفتح مواضيع بتوجع الراس وتزيد النكد علينا,Ammani,negative,high
الشوارع هون كلها حفر وبتكسر السيارات تكسير,Ammani,negative,high
سمعت إنه في منخفض جوي قوي جاي علينا الأسبوع الجاي,Ammani,neutral,high
خليني أشوف جدولي بالجامعة وبحكي معك المسا عشان ننسق موعد لندرس المادة سوا,Ammani,neutral,high
بالنسبة لموضوع السيارة، أنا بفضل إنك تاخدها على ميكانيكي شاطر بالبيادر,Ammani,neutral,high
السوق اليوم بوسط البلد كان هادي كتير والناس قليل,Ammani,neutral,high
